household_key,recency,frequency,monetary,avg_basket_value,avg_basket_size,std_basket_value,n_unique_departments,category_hhi,national_brand_ratio,discount_rate,coupon_redemption_rate,campaign_exposure_count,active_weeks_ratio,spending_trend_slope,primary_store_share,cluster_km,cluster_hc,cluster_db,is_noise_dbscan
968,0,167,9805.11,58.71323353293413,30.538922155688624,53.25517936539427,16,0.4177764472306414,0.5548098434004475,0.1735799726243535,0.005988023952095809,10.0,0.8529411764705882,0.4962977830045754,0.4311377245508982,1,0,0,False
1378,4,121,6933.72,57.30347107438017,382.504132231405,37.41801089739948,17,0.3067847578797942,0.5714285714285714,0.12432133425779636,0.0,12.0,0.7745098039215687,0.3968543579563515,0.7024793388429752,1,0,0,False
1914,0,156,4075.9500000000003,26.127884615384616,9.012820512820513,20.428444306569226,11,0.4240250204792868,0.9058219178082192,0.06582614435409198,0.0,7.0,0.8137254901960784,-0.36052474932848555,0.5512820512820513,1,0,0,False
712,1,256,11711.02,45.746171875,630.6171875,40.69053054788523,19,0.336859512092788,0.8413105413105413,0.1353205200619916,0.0390625,11.0,0.9411764705882353,-0.18184042027601185,0.6484375,1,0,0,False
2459,7,970,20671.5,21.310824742268043,503.9020618556701,40.29905340841454,19,0.3546176087872654,0.5969039307937472,0.1644313695055345,0.0,15.0,0.9215686274509803,-2.221564931017397,0.4948453608247423,1,0,-1,True
27,0,405,5736.24,14.163555555555556,7.701234567901235,9.889335850518796,10,0.44481236657180756,0.8580777096114519,0.07693644548504672,0.0,7.0,0.8823529411764706,0.7765289691042181,0.41975308641975306,1,0,0,False
2441,9,98,1223.56,12.485306122448979,7.510204081632653,8.027732499316397,9,0.4642052890520205,0.6589018302828619,0.23122934442503676,0.04081632653061224,3.0,0.6764705882352942,0.06416699861235817,1.0,0,1,0,False
691,7,54,2511.33,46.50611111111111,19.925925925925927,40.20941035152854,14,0.28167807124160066,0.5779816513761468,0.12778327689502475,0.0,3.0,0.4019607843137255,-0.15432282356958846,0.8518518518518519,0,1,0,False
934,3,233,10709.38,45.96300429184549,590.6309012875537,36.178245147737734,17,0.3615714667489562,0.610432622645415,0.23835363915216956,0.004291845493562232,9.0,0.8529411764705882,0.6464630026427082,0.703862660944206,1,0,0,False
1252,17,46,1152.78,25.060434782608695,259.9130434782609,25.252043961850056,12,0.301163003589333,0.8368983957219251,0.3018743376230129,0.0,0.0,0.3431372549019608,0.3300510633782735,0.7391304347826086,0,1,0,False
1070,3,174,5187.13,29.811091954022988,3257.1724137931033,22.0321719432027,15,0.24397380383621747,0.7296604740550929,0.12625449326725802,0.0,8.0,0.7843137254901961,-0.09634013571117372,0.6609195402298851,1,0,0,False
1447,5,40,604.95,15.123750000000001,433.925,14.277266255511565,9,0.37384108230551666,0.7536231884057971,0.10444115470022206,0.0,1.0,0.30392156862745096,0.34454490953358086,0.475,0,1,0,False
1018,4,166,2138.59,12.883072289156628,228.24096385542168,17.413840878456345,13,0.38743414552003647,0.7604690117252931,0.12285645146075067,0.0,5.0,0.7352941176470589,0.04220628535940807,0.8012048192771084,1,0,0,False
385,10,41,2929.72,71.45658536585366,1234.9756097560976,59.7153522810406,14,0.3001761452416804,0.6009174311926605,0.15589489454880723,0.0,0.0,0.27450980392156865,-0.3292357027051616,0.2926829268292683,0,1,0,False
1330,4,86,2177.55,25.320348837209306,715.3255813953489,19.958638374379003,10,0.2501892591965552,0.6838995568685377,0.1917097868612705,0.0,3.0,0.5196078431372549,-0.2491907124699229,0.8837209302325582,0,1,0,False
1634,2,84,4616.14,54.95404761904762,59.404761904761905,51.147727272149034,14,0.45301155579273955,0.5944584382871536,0.16650897745164595,0.023809523809523808,4.0,0.6176470588235294,-0.4675281928378238,0.5833333333333334,1,0,0,False
755,2,307,10617.05,34.58322475570032,10233.775244299673,21.21243123532454,12,0.5372487668057206,0.6652097902097902,0.04739836989875571,0.03908794788273615,7.0,0.8921568627450981,-0.2659037842634327,0.5895765472312704,1,0,-1,True
277,17,31,754.05,24.324193548387097,12.0,42.01574480867806,8,0.2822509446931007,0.6547085201793722,0.2504771182060356,0.0,0.0,0.20588235294117646,0.618244443014765,0.8387096774193549,0,1,0,False
65,40,122,2042.17,16.73909836065574,4.942622950819672,16.072970123838825,10,0.3564054593059932,0.8197343453510436,0.09563265016916728,0.0,6.0,0.6274509803921569,0.039594247744522,0.7295081967213115,0,0,0,False
1065,6,50,5167.16,103.3432,47.08,77.92362460245077,11,0.4065211696037237,0.7772277227722773,0.17259512379463957,0.0,5.0,0.4117647058823529,-0.7601276937326336,0.98,1,0,0,False
1151,3,159,2808.91,17.666100628930817,90.22012578616352,25.906869156823973,13,0.28903723590057623,0.7572944297082228,0.1289040089066139,0.0,2.0,0.6372549019607843,0.20744617066813148,0.4591194968553459,0,0,0,False
307,1,413,2582.03,6.251888619854722,167.92009685230025,6.785397214349091,10,0.38837054568113655,0.5639246778989098,0.1627848913935157,0.004842615012106538,4.0,0.9509803921568627,0.17433673469387753,0.25181598062953997,1,0,0,False
187,6,59,701.0,11.88135593220339,7.237288135593221,19.86419873121483,11,0.3412232242099628,0.5790960451977402,0.19261955219754906,0.0,2.0,0.4117647058823529,0.02564948506769997,0.4406779661016949,0,1,0,False
1042,5,248,5284.12,21.306935483870966,577.8145161290323,24.320427966663154,17,0.3422364166994355,0.5605170387779084,0.19315325769953123,0.0,7.0,0.9313725490196079,0.12398257326413696,0.41935483870967744,1,0,0,False
862,0,71,1753.9,24.70281690140845,13.169014084507042,20.369474513391605,11,0.3312525810666717,0.5632530120481928,0.14687770568034786,0.0,1.0,0.3627450980392157,-0.4410007905504817,0.5915492957746479,0,1,0,False
1195,6,41,1271.09,31.002195121951218,1095.8048780487804,27.52182883750598,13,0.3183096399325437,0.8442622950819673,0.11976815046674606,0.0,0.0,0.2647058823529412,0.4210989661557046,0.36585365853658536,0,1,0,False
2401,10,66,727.45,11.021969696969698,242.71212121212122,9.618474886255571,6,0.3022534325888211,0.6732283464566929,0.12524050024050024,0.0,0.0,0.46078431372549017,0.12376926375167918,0.8181818181818182,0,1,0,False
2420,45,101,4583.46,45.38079207920792,581.4653465346535,43.31253018892266,11,0.2756301706912544,0.5720691864189622,0.14943595244148436,0.009900990099009901,5.0,0.5980392156862745,0.5759156845715794,0.8415841584158416,1,0,0,False
760,162,70,1872.52,26.750285714285713,90.11428571428571,19.762648781823398,10,0.29173994118704505,0.7717391304347826,0.1035212447636146,0.0,3.0,0.5,0.2055706862733661,0.8857142857142857,0,1,0,False
2136,7,18,1552.43,86.24611111111112,32.27777777777778,74.28831838649202,11,0.25090541346472184,0.7971014492753623,0.097030681983423,0.0,0.0,0.13725490196078433,1.6096949066315533,0.5,0,1,0,False
684,0,107,2052.67,19.183831775700934,412.6542056074766,16.24889195902176,14,0.47493869905317626,0.6826697892271663,0.12069379117725174,0.0,6.0,0.6372549019607843,0.15571336506963393,0.6728971962616822,0,0,0,False
132,6,98,2875.2400000000002,29.33918367346939,127.93877551020408,26.842760189378303,14,0.27314096610163907,0.6497652582159624,0.14663326694941664,0.0,6.0,0.5784313725490197,-0.37817208769957034,1.0,1,0,0,False
1201,15,38,537.6,14.147368421052633,146.42105263157896,12.250666983322711,12,0.3758967185507015,0.7486033519553073,0.1527854384997242,0.0,0.0,0.30392156862745096,0.050697672227441704,0.9736842105263158,0,1,0,False
1714,58,9,264.72,29.413333333333338,13.777777777777779,24.06368269820727,8,0.3107659937260953,0.7195121951219512,0.15798848563885617,0.0,0.0,0.0784313725490196,0.31683893395133256,0.8888888888888888,0,1,0,False
229,19,40,1004.89,25.12225,13.6,16.917940028493195,8,0.32435306218893384,0.5517241379310345,0.24115146160410197,0.0,0.0,0.3235294117647059,-0.24401511890916744,0.925,0,1,0,False
1933,4,85,2180.2200000000003,25.649647058823533,1230.5764705882352,22.801488070020397,14,0.2989288772731171,0.5977496483825597,0.14358776946766388,0.0,2.0,0.49019607843137253,-0.21549884125989313,0.4470588235294118,0,1,0,False
2409,7,8,906.5500000000001,113.31875000000001,61.75,47.13632946419506,11,0.4290399265196126,0.6854838709677419,0.2378730559058428,0.0,0.0,0.06862745098039216,-1.4858356992963835,1.0,0,1,0,False
413,9,282,5963.78,21.148156028368792,2066.4574468085107,16.8484778704808,13,0.19013224979887797,0.6062416998671979,0.08502072740773925,0.0070921985815602835,8.0,0.8823529411764706,0.08413415636565641,0.450354609929078,1,0,0,False
1410,17,45,2525.94,56.132,953.4222222222222,51.264026266875575,16,0.23524595311004998,0.6367403314917127,0.18049625601827218,0.0,0.0,0.27450980392156865,0.02374241799906901,0.6222222222222222,0,1,0,False
602,34,53,1850.07,34.90698113207547,2747.188679245283,25.530861986781776,13,0.26634239559224654,0.672316384180791,0.13084309727611834,0.0,0.0,0.27450980392156865,0.6518938893997903,0.9622641509433962,0,1,0,False
194,1,73,1882.81,25.79191780821918,454.83561643835617,26.177052114056682,15,0.22851521564017596,0.7977346278317152,0.1293283637305316,0.0,1.0,0.4803921568627451,-0.09192948653388017,0.6164383561643836,0,1,0,False
889,0,214,12983.01,60.66827102803738,5075.439252336449,69.0645800614349,16,0.35526756370960116,0.7551460028721877,0.12049297878494943,0.10747663551401869,12.0,0.8725490196078431,-0.11418025617370857,0.5186915887850467,1,0,0,False
1705,2,176,1805.93,10.26096590909091,44.40340909090909,12.561238095437082,14,0.37335591788318306,0.5962539021852237,0.16048940808955126,0.0,7.0,0.7352941176470589,0.1246456910869164,0.25,1,0,0,False
1779,8,109,3508.58,32.18880733944954,590.8348623853211,34.31005205056586,15,0.3671905346322216,0.6456117021276596,0.23319112851760224,0.0,6.0,0.696078431372549,0.3361180051775133,0.7431192660550459,1,0,0,False
2452,1,145,3060.36,21.105931034482758,39.97931034482759,27.946651421765274,14,0.3427220495283546,0.6993755575379126,0.12473866798607754,0.0,7.0,0.7058823529411765,0.15516735014764124,0.32413793103448274,1,0,0,False
1148,3,26,478.59000000000003,18.407307692307693,3063.4615384615386,12.414329319844004,10,0.22498479263474028,0.5565217391304348,0.09340784239439287,0.0,0.0,0.24509803921568626,0.07857237959323601,0.19230769230769232,0,0,0,False
140,19,140,1720.64,12.290285714285716,6.585714285714285,19.51122333143166,9,0.5519642652748133,0.7615606936416185,0.16414952272230454,0.0,3.0,0.45098039215686275,-0.33306607411760386,0.6714285714285714,0,0,0,False
1754,7,209,4120.16,19.713684210526313,849.8995215311005,16.932779609492467,13,0.33411049149158667,0.6530612244897959,0.2544478061350049,0.009569377990430622,7.0,0.8137254901960784,0.24173132634987646,0.8086124401913876,1,0,0,False
1482,116,18,1042.35,57.90833333333333,28.444444444444443,81.05943050336224,8,0.30468747603601104,0.6875,0.20705499303933728,0.0,0.0,0.1568627450980392,-2.458942335268347,0.5,0,1,0,False
152,15,37,1454.28,39.30486486486486,18.0,24.581069909544173,11,0.3805712472876713,0.8412698412698413,0.23655033387929947,0.0,0.0,0.27450980392156865,0.18336243180046768,0.7297297297297297,0,1,0,False
220,32,91,2525.2400000000002,27.749890109890114,2428.934065934066,21.44101399418649,13,0.2642348474298579,0.5041224970553593,0.16354253271811245,0.0,3.0,0.6078431372549019,0.18697992044395406,0.9340659340659341,0,0,0,False
2316,134,27,751.89,27.84777777777778,280.4074074074074,25.525745123356618,12,0.25984093240681255,0.7635467980295566,0.11702327547737042,0.0,1.0,0.20588235294117646,-0.46757260909486287,0.3333333333333333,0,1,0,False
861,5,34,1382.53,40.66264705882353,13.970588235294118,55.16331819786524,12,0.23353716348811462,0.8149100257069408,0.08767380014385737,0.0,1.0,0.24509803921568626,-0.5553606939293423,0.8235294117647058,0,1,0,False
2367,3,141,4495.53,31.8831914893617,120.81560283687944,26.45875748403134,12,0.3562935955546894,0.6127842655193608,0.13476284326330137,0.0,7.0,0.5980392156862745,-0.9400790480479913,0.524822695035461,1,0,0,False
1387,6,66,2057.95,31.181060606060605,13.121212121212121,23.11812835974852,10,0.36654774576865407,0.8918083462132921,0.15858485088845461,0.0,1.0,0.5196078431372549,0.07969376155864065,0.8939393939393939,0,0,0,False
1246,9,97,5428.25,55.96134020618557,2264.742268041237,49.67779348857465,16,0.3384484933717943,0.8158090976882924,0.10665501487742582,0.0,3.0,0.5784313725490197,-0.5834543103160976,0.9072164948453608,1,0,0,False
459,7,67,1194.94,17.83492537313433,5.373134328358209,16.19089843213776,8,0.43188468612888864,0.8543689320388349,0.07033881822071808,0.0,2.0,0.5490196078431373,0.2838156800599476,0.9253731343283582,0,1,0,False
883,1,352,10165.13,28.878210227272724,1637.9488636363637,22.97905772521111,21,0.2490123677346895,0.7005703422053232,0.10745051967403264,0.011363636363636364,8.0,0.8921568627450981,0.2248218777292576,0.8721590909090909,1,0,0,False
1937,7,158,6742.4400000000005,42.67367088607595,250.68987341772151,46.53247004624157,20,0.3569977902257676,0.737655357742694,0.13650346426238744,0.10759493670886076,6.0,0.8333333333333334,-0.030246249851912797,0.4810126582278481,1,0,0,False
1178,3,212,5022.28,23.689999999999998,1210.6745283018868,17.405785005530998,14,0.2979227568002046,0.4953789279112754,0.20862864976442969,0.0,8.0,0.9509803921568627,0.13884467704607623,0.32547169811320753,1,0,0,False
2062,5,217,5357.62,24.689493087557604,251.5299539170507,30.677361468781744,16,0.2671577213379557,0.5457677165354331,0.23374780820311272,0.03225806451612903,6.0,0.7549019607843137,-1.0255772983504905,0.45161290322580644,1,0,0,False
2220,67,12,215.58,17.965,1664.3333333333333,11.989879444385965,8,0.1734804030001986,0.7804878048780488,0.19003606853020738,0.0,0.0,0.10784313725490197,-0.10955821261184488,0.75,0,1,0,False
606,3,97,3323.12,34.258969072164945,301.9896907216495,33.47776605090983,13,0.3956826601767639,0.7422413793103448,0.12222386577351393,0.0,3.0,0.6078431372549019,0.07865062749597415,0.7835051546391752,0,0,0,False
1613,5,136,6699.49,49.26095588235294,22.426470588235293,45.85484503466995,13,0.5073327003478935,0.7780149413020278,0.12045094105784986,0.0,7.0,0.7058823529411765,0.6002658263009986,0.8970588235294118,1,0,0,False
2309,75,12,275.01,22.9175,9.0,14.580873602085711,6,0.38219058794773203,0.6951219512195121,0.2233549844676645,0.0,0.0,0.09803921568627451,0.13073315954736653,0.5833333333333334,0,1,0,False
115,3,201,13262.1,65.98059701492538,4967.87064676617,67.70872900624994,15,0.2592071545289046,0.7259631490787269,0.1080734814934377,0.0945273631840796,10.0,0.8725490196078431,0.7466916082679395,0.8656716417910447,1,0,0,False
386,1,280,4676.43,16.701535714285715,411.8464285714286,21.391412040878986,15,0.4119976575607229,0.643507972665148,0.20363236946970467,0.0,5.0,0.7843137254901961,0.05425111761515537,0.41785714285714287,1,0,0,False
185,6,68,2137.62,31.435588235294116,1375.7058823529412,30.14432915567752,13,0.25677301668094227,0.7616361071932299,0.22172706817834284,0.0,1.0,0.39215686274509803,0.4011435661157282,1.0,0,1,0,False
323,0,14,156.99,11.213571428571429,80.42857142857143,17.667314282483456,6,0.5825089585735335,0.7037037037037037,0.13106769247799854,0.0,0.0,0.11764705882352941,0.1425665458251096,0.6428571428571429,0,1,0,False
1519,21,30,2425.66,80.85533333333333,295.1666666666667,64.3355743674944,12,0.3655908973767419,0.786036036036036,0.1430428715267351,0.0,0.0,0.2647058823529412,0.9284073256467533,0.7333333333333333,0,1,0,False
167,2,20,1268.02,63.400999999999996,19.55,42.39774955547075,11,0.20588731024867724,0.911504424778761,0.08076524361511639,0.0,0.0,0.17647058823529413,0.38369425552041014,0.55,0,1,0,False
1319,32,48,1059.79,22.078958333333333,10.520833333333334,18.986333521614213,12,0.26983086392050226,0.5912806539509536,0.24731358442056522,0.0,1.0,0.4019607843137255,-0.05792821343345965,0.6041666666666666,0,1,0,False
1787,19,61,1097.5,17.991803278688526,10.59016393442623,15.100001711721397,10,0.41027094479584475,0.5671641791044776,0.2045026238728944,0.0,0.0,0.35294117647058826,-0.15260233163528647,1.0,0,1,0,False
2157,113,12,390.7,32.55833333333333,22.583333333333332,19.11339075257465,7,0.5299123694229719,0.6222222222222222,0.3612777714201638,0.0,0.0,0.10784313725490197,0.05168561891830731,1.0,0,1,0,False
2069,17,89,2068.17,23.237865168539326,37.98876404494382,25.20792612867799,12,0.2826070762464049,0.6767676767676768,0.12728446584325326,0.0,3.0,0.5,0.2239751759415591,0.4044943820224719,0,0,0,False
475,2,41,1525.02,37.19560975609756,16.341463414634145,40.34201687129565,11,0.38195242979801186,0.6982142857142857,0.15010839458974462,0.0,1.0,0.35294117647058826,-0.009307241523650074,0.5365853658536586,0,1,0,False
2106,219,52,2807.03,53.98134615384616,2594.769230769231,47.06568764030011,18,0.2191813999749663,0.8114104595879557,0.07788760663966388,0.0,0.0,0.3137254901960784,-1.7043670656148031,0.7115384615384616,0,1,0,False
2244,0,324,5477.2,16.904938271604937,97.25925925925925,18.36639953514904,16,0.41263373583558105,0.566538296961917,0.20146958055721598,0.0030864197530864196,9.0,0.8823529411764706,-0.023838899916736184,0.39197530864197533,1,0,0,False
1444,93,23,323.99,14.086521739130434,5.869565217391305,14.181884606361118,9,0.3618957032842527,0.8145161290322581,0.09734488618950769,0.0,0.0,0.14705882352941177,0.05552050121158017,1.0,0,1,0,False
